session_id,interface_option,question_id,answer
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,single,single_what_works,The options were all easy to see in a short time and in convenient subcategories.
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,single,single_title_filter_feedback,They were clear and what I would look for when searching for accommodations.
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,single,single_title_filter_improve,Maybe with more options or a choice of titles. 
03250254-7388-44aa-b1f3-f1f612af196f,single,single_what_works,Easy to use
03250254-7388-44aa-b1f3-f1f612af196f,single,single_title_filter_feedback,You can filter only doing click to a button not typing
177ea1ba-e7a2-4bb8-8e8c-30b6320e9fd2,single,single_title_filter_feedback,Przejrzystość
25b78ff2-cbf6-4df6-bc5b-2dc1f5c2beba,single,single_what_works,I prefere the browser which showing the sum list of my chooses
25b78ff2-cbf6-4df6-bc5b-2dc1f5c2beba,single,single_title_filter_feedback,nothing special
343da180-8031-4b31-9e6e-333341a68929,single,single_what_works,Easy to find something quickly.
343da180-8031-4b31-9e6e-333341a68929,single,single_title_filter_improve,"It was confusing to press the up arrow and the price/distance/rating decreased.
Add extra filtering options after selecting the first group (e.g. after selecting the price range, show a similar menu for distance and rating).
"
343da180-8031-4b31-9e6e-333341a68929,single,single_title_filter_feedback,It does not feel like it allowed for the same control over the search like the previous interfaces.
4023dfff-6229-448f-af14-ae8372bdb209,single,single_what_works,"intuitive, easy to use"
4023dfff-6229-448f-af14-ae8372bdb209,single,single_title_filter_improve,"by adding size of the room, e.g. 2-3 person
by showing offers in order, from highest rating or from lowest price"
4023dfff-6229-448f-af14-ae8372bdb209,single,single_title_filter_feedback,it's easy to compare many offers quickly
55eda0b3-163d-49e2-8063-257d765a6847,single,single_what_works,Minimalistic design
55eda0b3-163d-49e2-8063-257d765a6847,single,single_title_filter_feedback,Color scheme is intuitive
55eda0b3-163d-49e2-8063-257d765a6847,single,single_title_filter_improve,Maybe some customized filters like distance to the city center or being able to choose districts
56627cf8-2ec4-41e5-8a4c-4e65be62cb41,single,single_what_works,
56627cf8-2ec4-41e5-8a4c-4e65be62cb41,single,single_title_filter_feedback,more convenient to use than if they were on the side
6845ae9e-08f7-4642-860e-249139a5f885,single,single_what_works,I can easily browse by one category.
6845ae9e-08f7-4642-860e-249139a5f885,single,single_title_filter_feedback,That it's very clear and easy to use.
6845ae9e-08f7-4642-860e-249139a5f885,single,single_title_filter_improve,"I guess I would still use double categories here - so find a persona (for example young, single traveler) and make a category for that person (with hostels, single rooms). Cause filtering only by rating is too narrow. "
6a844a80-d632-4a7b-9528-51943c071856,single,single_what_works,if I had a priority (in terms of price/ rating or distance) it was easier to compare the alternatives
70c25238-510a-4071-bd0c-8495ccca678b,single,single_what_works,The show the list button. I feel like scrolling left/right you dont have a really good overview of the options and how many there are. Scrolling a list up/down feels way quicker and easier.
70c25238-510a-4071-bd0c-8495ccca678b,single,single_title_filter_feedback,It is nice if you have a specific category in mind that you want to filter. If you want to place multiple filters in my opinion it is not that useful.
70c25238-510a-4071-bd0c-8495ccca678b,single,single_title_filter_improve,I prefer when it is possible to set multiple filters at once with one list view of results. Maybe putting several titles next to each other.
77f87ad4-ea54-49f0-8988-37946b76d636,single,single_what_works,"What I liked the most was that you could narrow down the selection by the title and then, when you looked at the list, you could sort it again according to another criterion."
77f87ad4-ea54-49f0-8988-37946b76d636,single,single_title_filter_feedback,"Through this feature, you could make a good pre-selection based on the criterion that is most important to you."
77f87ad4-ea54-49f0-8988-37946b76d636,single,single_title_filter_improve,"You could make the individual titles customizable. But maybe that would make the whole system too complicated. This interface was new to me, but I liked it. I would probably use it again."
7a4e4f17-ba1d-4573-be9d-344a5e30bac5,single,single_what_works,Big preview of the apartment before booking (visuals are important)
7a4e4f17-ba1d-4573-be9d-344a5e30bac5,single,single_title_filter_feedback,That it is limited in options (which is good cause I don't have to look for things but doesn't have more specific filters)
7a4e4f17-ba1d-4573-be9d-344a5e30bac5,single,single_title_filter_improve,"More options under ""More"" button or something like that"
8d50a960-fef3-4721-bfe1-76c5cae9dae7,single,single_what_works,I found it confusing and not intuitive as I had to search for different filter options. Booking-style interface is something I am used to and it resonates with me better.
8d50a960-fef3-4721-bfe1-76c5cae9dae7,single,single_title_filter_feedback,I didn't like it.
8d50a960-fef3-4721-bfe1-76c5cae9dae7,single,single_title_filter_improve,I missed distance to the city center filter.
8dc27316-3acf-48f0-ad39-d44cde754034,single,single_title_filter_improve,I am not sure if it is possible to apply several filters at the same time.
8dc27316-3acf-48f0-ad39-d44cde754034,single,single_title_filter_feedback,The size of the photographs in the listings. We choose with our eyes in the end :)
8f79f055-7919-41c7-911d-b3c7189bfacd,single,single_title_filter_improve,Make it more clear that its possible to do this
8f79f055-7919-41c7-911d-b3c7189bfacd,single,single_what_works,The filtering was easy and fast and the amount of information shown was correct.
8f79f055-7919-41c7-911d-b3c7189bfacd,single,single_title_filter_feedback,I did not know that this was possible
92b0d168-2038-449a-8780-0a9dc07594fd,single,single_title_filter_improve,Filtering all features together and giving one list after that
98ad7c12-53ba-4564-b93f-57f1f809f8cd,single,single_what_works,"I can focus on only one filter, price for example"
98ad7c12-53ba-4564-b93f-57f1f809f8cd,single,single_title_filter_feedback,"easier to filter, just one click"
98ad7c12-53ba-4564-b93f-57f1f809f8cd,single,single_title_filter_improve,find a way to apply multiplpe filters at the same time
a190f603-8556-43e7-aa16-e999b9b6a7db,single,single_what_works,IT WAS DIFFICULT TO NAVIGATE FOR ME
a190f603-8556-43e7-aa16-e999b9b6a7db,single,single_title_filter_improve,WHOLE VISUAL CONCEPT DOES NOT FIT MY PREFERENCIES
a1ff06a1-b9f9-448d-9f1b-db87256214b7,single,single_what_works,Having a fast overview in different categories
a1ff06a1-b9f9-448d-9f1b-db87256214b7,single,single_title_filter_feedback,you can filter very fast
