session_id,step_id,interface_option,task_type,task_completion_time_sec,total_interactions,selected_accommodation,total_navigations,total_filters,total_resets,total_hovers,total_scrolls
0112a1d1-5317-4055-b83e-a30bbcaa0106,multi-exploratory,multi,exploratory,28.711,3,"{'id': '34', 'versionBenchmark': {'name': 'Colorful Inn', 'location': {'lat': 39.473409, 'lng': -0.359466}, 'images': ['/images/hostel_private_room/room/room5.jpg', '/images/hostel_private_room/bathroom/bathroom5.jpg', '/images/hostel_private_room/reception/reception3.jpg', '/images/features/pool/pool2.jpg']}, 'versionSingleAxisCarousel': {'name': 'Charming Place', 'location': {'lat': 39.476926, 'lng': -0.39119}, 'images': ['/images/hostel_private_room/room/room9.jpg', '/images/hostel_private_room/bathroom/bathroom1.jpg', '/images/hostel_private_room/reception/reception3.jpg', '/images/features/pool/pool1.jpg']}, 'versionMultiAxisCarousel': {'name': 'Quiet Nook', 'location': {'lat': 39.458974, 'lng': -0.366047}, 'images': ['/images/hostel_private_room/room/room4.jpg', '/images/hostel_private_room/bathroom/bathroom4.jpg', '/images/hostel_private_room/reception/reception6.jpg', '/images/features/pool/pool5.jpg']}, 'price': 15.7, 'rating': 4.57, 'distance': 1.5, 'type': 'Hostel (Private Room)', 'features': ['Shared kitchen', 'Hostel entertainment', 'Breakfast available', 'Bar', 'Self check-in', 'Lockers', 'Non-smoking rooms', 'Swimming pool', 'Shared bathroom', 'Tea/coffee maker', 'Private room', '24h reception']}",2,0,0,26,1
0112a1d1-5317-4055-b83e-a30bbcaa0106,multi-goal,multi,goal,80.634,4,"{'id': '213', 'versionBenchmark': {'name': 'Urban Rooms', 'location': {'lat': 39.477908, 'lng': -0.383827}, 'images': ['/images/hostel_private_room/room/room5.jpg', '/images/hostel_private_room/bathroom/bathroom6.jpg', '/images/hostel_private_room/reception/reception10.jpg', '/images/features/rooftop_terrace/rooftop_terrace4.jpg', '/images/features/pool/pool3.jpg']}, 'versionSingleAxisCarousel': {'name': 'Warm Inn', 'location': {'lat': 39.464363, 'lng': -0.365699}, 'images': ['/images/hostel_private_room/room/room3.jpg', '/images/hostel_private_room/bathroom/bathroom6.jpg', '/images/hostel_private_room/reception/reception5.jpg', '/images/features/rooftop_terrace/rooftop_terrace4.jpg', '/images/features/pool/pool2.jpg']}, 'versionMultiAxisCarousel': {'name': 'Youth Nook', 'location': {'lat': 39.464219, 'lng': -0.365827}, 'images': ['/images/hostel_private_room/room/room8.jpg', '/images/hostel_private_room/bathroom/bathroom4.jpg', '/images/hostel_private_room/reception/reception6.jpg', '/images/features/rooftop_terrace/rooftop_terrace3.jpg', '/images/features/pool/pool1.jpg']}, 'price': 68.84, 'rating': 4.31, 'distance': 1.1, 'type': 'Hostel (Private Room)', 'features': ['Shared kitchen', 'Hostel entertainment', 'Free Wi-Fi', 'Rooftop terrace', 'Bar', 'Self check-in', 'Lockers', 'Non-smoking rooms', 'Shared bathroom', 'Tea/coffee maker', 'Private room', 'Swimming pool', '24h reception']}",3,4,0,59,1
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,benchmark-exploratory,benchmark,exploratory,66.553,1,"{'id': '169', 'versionBenchmark': {'name': 'Quaint B&B', 'location': {'lat': 39.470967, 'lng': -0.371376}, 'images': ['/images/guesthouse_bnb/room/room8.jpg', '/images/guesthouse_bnb/bathroom/bathroom5.jpg', '/images/guesthouse_bnb/reception/reception10.jpg', '/images/features/rooftop_terrace/rooftop_terrace4.jpg']}, 'versionSingleAxisCarousel': {'name': 'Homely Villa', 'location': {'lat': 39.466055, 'lng': -0.37754}, 'images': ['/images/guesthouse_bnb/room/room8.jpg', '/images/guesthouse_bnb/bathroom/bathroom6.jpg', '/images/guesthouse_bnb/reception/reception7.jpg', '/images/features/rooftop_terrace/rooftop_terrace4.jpg']}, 'versionMultiAxisCarousel': {'name': 'Family Cottage', 'location': {'lat': 39.468556, 'lng': -0.38111}, 'images': ['/images/guesthouse_bnb/room/room6.jpg', '/images/guesthouse_bnb/bathroom/bathroom6.jpg', '/images/guesthouse_bnb/reception/reception10.jpg', '/images/features/rooftop_terrace/rooftop_terrace2.jpg']}, 'price': 60.69, 'rating': 4.66, 'distance': 0.44, 'type': 'Guesthouse / Bed & Breakfast (B&B)', 'features': ['Breakfast available', 'TV in room', 'Air conditioning', 'Private bathroom', 'Rooftop terrace', 'Restaurant', 'Non-smoking rooms', 'Balcony', 'Tea/coffee maker', 'Private room', '24h reception', 'Room service', 'Parking']}",1,0,0,2,0
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,benchmark-goal,benchmark,goal,48.645,1,"{'id': '65', 'versionBenchmark': {'name': 'Elegant Collection', 'location': {'lat': 39.466522, 'lng': -0.382892}, 'images': ['/images/upper_midrange_hotel/room/room7.jpg', '/images/upper_midrange_hotel/bathroom/bathroom10.jpg', '/images/upper_midrange_hotel/reception/reception5.jpg', '/images/features/rooftop_terrace/rooftop_terrace2.jpg', '/images/features/pool/pool2.jpg', '/images/features/gym/gym3.jpg']}, 'versionSingleAxisCarousel': {'name': 'Executive Haven', 'location': {'lat': 39.465955, 'lng': -0.382345}, 'images': ['/images/upper_midrange_hotel/room/room1.jpg', '/images/upper_midrange_hotel/bathroom/bathroom5.jpg', '/images/upper_midrange_hotel/reception/reception9.jpg', '/images/features/rooftop_terrace/rooftop_terrace1.jpg', '/images/features/pool/pool3.jpg', '/images/features/gym/gym4.jpg']}, 'versionMultiAxisCarousel': {'name': 'Executive Residence', 'location': {'lat': 39.4732, 'lng': -0.369642}, 'images': ['/images/upper_midrange_hotel/room/room6.jpg', '/images/upper_midrange_hotel/bathroom/bathroom3.jpg', '/images/upper_midrange_hotel/reception/reception1.jpg', '/images/features/rooftop_terrace/rooftop_terrace5.jpg', '/images/features/pool/pool1.jpg', '/images/features/gym/gym5.jpg']}, 'price': 15.37, 'rating': 2.57, 'distance': 0.68, 'type': 'Upper Mid-Range Hotel', 'features': ['Private bathroom', 'Fitness center', 'Balcony', 'Daily housekeeping', 'Room service', 'Parking', 'Concierge', 'Breakfast available', 'Air conditioning', 'Free Wi-Fi', 'Coffee machine', 'Rooftop terrace', 'TV in room', 'Swimming pool', '24h reception', 'Gym', 'Luggage storage', 'Airport shuttle', 'Restaurant', 'Non-smoking rooms', 'Bar', 'Family-friendly', 'Private room', 'Spa']}",1,0,0,3,0
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,multi-exploratory,multi,exploratory,134.587,15,"{'id': '127', 'versionBenchmark': {'name': 'Grand Sanctuary', 'location': {'lat': 39.460721, 'lng': -0.375785}, 'images': ['/images/luxury_hotel/room/room6.jpg', '/images/luxury_hotel/bathroom/bathroom7.jpg', '/images/luxury_hotel/reception/reception9.jpg', '/images/features/pool/pool4.jpg', '/images/features/gym/gym3.jpg', '/images/features/sea_view/sea_view5.jpg']}, 'versionSingleAxisCarousel': {'name': 'Premier Palace', 'location': {'lat': 39.479055, 'lng': -0.377298}, 'images': ['/images/luxury_hotel/room/room6.jpg', '/images/luxury_hotel/bathroom/bathroom10.jpg', '/images/luxury_hotel/reception/reception2.jpg', '/images/features/pool/pool5.jpg', '/images/features/gym/gym2.jpg', '/images/features/sea_view/sea_view2.jpg']}, 'versionMultiAxisCarousel': {'name': 'Elegant Palace', 'location': {'lat': 39.476149, 'lng': -0.38499}, 'images': ['/images/luxury_hotel/room/room9.jpg', '/images/luxury_hotel/bathroom/bathroom2.jpg', '/images/luxury_hotel/reception/reception4.jpg', '/images/features/pool/pool5.jpg', '/images/features/gym/gym3.jpg', '/images/features/sea_view/sea_view1.jpg']}, 'price': 60.14, 'rating': 4.76, 'distance': 1.02, 'type': 'Luxury Hotel', 'features': ['Private bathroom', 'Fitness center', 'Balcony', 'Daily housekeeping', 'Room service', 'Parking', 'Breakfast available', 'Air conditioning', 'Free Wi-Fi', 'Coffee machine', 'TV in room', 'Swimming pool', '24h reception', 'Gym', 'Luggage storage', 'Airport shuttle', 'Restaurant', 'Sea view', 'Bar', 'Private room']}",2,0,0,49,13
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,multi-goal,multi,goal,37.554,3,"{'id': '230', 'versionBenchmark': {'name': 'Colorful Den', 'location': {'lat': 39.475096, 'lng': -0.369859}, 'images': ['/images/hostel_private_room/room/room9.jpg', '/images/hostel_private_room/bathroom/bathroom1.jpg', '/images/hostel_private_room/reception/reception1.jpg', '/images/features/rooftop_terrace/rooftop_terrace2.jpg', '/images/features/pool/pool3.jpg']}, 'versionSingleAxisCarousel': {'name': 'Trendy Nook', 'location': {'lat': 39.463717, 'lng': -0.381074}, 'images': ['/images/hostel_private_room/room/room9.jpg', '/images/hostel_private_room/bathroom/bathroom4.jpg', '/images/hostel_private_room/reception/reception1.jpg', '/images/features/rooftop_terrace/rooftop_terrace1.jpg', '/images/features/pool/pool3.jpg']}, 'versionMultiAxisCarousel': {'name': 'Hip Hostel', 'location': {'lat': 39.474623, 'lng': -0.369278}, 'images': ['/images/hostel_private_room/room/room9.jpg', '/images/hostel_private_room/bathroom/bathroom4.jpg', '/images/hostel_private_room/reception/reception2.jpg', '/images/features/rooftop_terrace/rooftop_terrace2.jpg', '/images/features/pool/pool2.jpg']}, 'price': 54.53, 'rating': 3.63, 'distance': 0.8, 'type': 'Hostel (Private Room)', 'features': ['Shared kitchen', 'Hostel entertainment', 'Free Wi-Fi', 'Rooftop terrace', 'Bar', 'Lockers', 'Shared bathroom', 'Tea/coffee maker', 'Private room', 'Swimming pool']}",2,2,0,27,1
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,single-exploratory,single,exploratory,339.595,25,"{'id': '39', 'versionBenchmark': {'name': 'Premier Suites', 'location': {'lat': 39.466169, 'lng': -0.381817}, 'images': ['/images/luxury_hotel/room/room10.jpg', '/images/luxury_hotel/bathroom/bathroom4.jpg', '/images/luxury_hotel/reception/reception4.jpg', '/images/features/rooftop_terrace/rooftop_terrace2.jpg', '/images/features/pool/pool3.jpg', '/images/features/gym/gym3.jpg', '/images/features/sea_view/sea_view4.jpg']}, 'versionSingleAxisCarousel': {'name': 'Opulent Sanctuary', 'location': {'lat': 39.474594, 'lng': -0.380414}, 'images': ['/images/luxury_hotel/room/room8.jpg', '/images/luxury_hotel/bathroom/bathroom1.jpg', '/images/luxury_hotel/reception/reception1.jpg', '/images/features/rooftop_terrace/rooftop_terrace5.jpg', '/images/features/pool/pool2.jpg', '/images/features/gym/gym5.jpg', '/images/features/sea_view/sea_view1.jpg']}, 'versionMultiAxisCarousel': {'name': 'Luxury Hotel', 'location': {'lat': 39.474454, 'lng': -0.380667}, 'images': ['/images/luxury_hotel/room/room5.jpg', '/images/luxury_hotel/bathroom/bathroom10.jpg', '/images/luxury_hotel/reception/reception8.jpg', '/images/features/rooftop_terrace/rooftop_terrace5.jpg', '/images/features/pool/pool3.jpg', '/images/features/gym/gym3.jpg', '/images/features/sea_view/sea_view4.jpg']}, 'price': 43.25, 'rating': 4.02, 'distance': 0.63, 'type': 'Luxury Hotel', 'features': ['Private bathroom', 'Fitness center', 'Balcony', 'Daily housekeeping', 'Room service', 'Parking', 'Concierge', 'Breakfast available', 'Air conditioning', 'Free Wi-Fi', 'Coffee machine', 'Rooftop terrace', 'TV in room', 'Swimming pool', '24h reception', 'Gym', 'Private beach', 'Luggage storage', 'Airport shuttle', 'Restaurant', 'Non-smoking rooms', 'Sea view', 'Bar', 'Private room', 'Spa']}",5,2,1,15,15
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,single-goal,single,goal,52.397,1,"{'id': '21', 'versionBenchmark': {'name': 'Classic Collection', 'location': {'lat': 39.468527, 'lng': -0.380345}, 'images': ['/images/upper_midrange_hotel/room/room7.jpg', '/images/upper_midrange_hotel/bathroom/bathroom4.jpg', '/images/upper_midrange_hotel/reception/reception2.jpg', '/images/features/rooftop_terrace/rooftop_terrace3.jpg', '/images/features/gym/gym3.jpg', '/images/features/pool/pool3.jpg', '/images/features/sea_view/sea_view3.jpg']}, 'versionSingleAxisCarousel': {'name': 'Classic Haven', 'location': {'lat': 39.469423, 'lng': -0.380673}, 'images': ['/images/upper_midrange_hotel/room/room5.jpg', '/images/upper_midrange_hotel/bathroom/bathroom7.jpg', '/images/upper_midrange_hotel/reception/reception8.jpg', '/images/features/rooftop_terrace/rooftop_terrace1.jpg', '/images/features/gym/gym4.jpg', '/images/features/pool/pool3.jpg', '/images/features/sea_view/sea_view2.jpg']}, 'versionMultiAxisCarousel': {'name': 'Refined Villa', 'location': {'lat': 39.473269, 'lng': -0.37708}, 'images': ['/images/upper_midrange_hotel/room/room9.jpg', '/images/upper_midrange_hotel/bathroom/bathroom6.jpg', '/images/upper_midrange_hotel/reception/reception4.jpg', '/images/features/rooftop_terrace/rooftop_terrace2.jpg', '/images/features/gym/gym1.jpg', '/images/features/pool/pool4.jpg', '/images/features/sea_view/sea_view1.jpg']}, 'price': 50.35, 'rating': 4.34, 'distance': 0.38, 'type': 'Upper Mid-Range Hotel', 'features': ['Private bathroom', 'Fitness center', 'Daily housekeeping', 'Room service', 'Parking', 'Concierge', 'Breakfast available', 'Air conditioning', 'Free Wi-Fi', 'Coffee machine', 'Rooftop terrace', 'TV in room', '24h reception', 'Gym', 'Swimming pool', 'Private beach', 'Luggage storage', 'Airport shuttle', 'Breakfast included', 'Restaurant', 'Non-smoking rooms', 'Sea view', 'Bar', 'Family-friendly', 'Private room', 'Spa']}",1,1,0,9,0
03250254-7388-44aa-b1f3-f1f612af196f,benchmark-exploratory,benchmark,exploratory,26.882,1,"{'id': '28', 'versionBenchmark': {'name': 'Compact Suites', 'location': {'lat': 39.385464, 'lng': -0.319839}, 'images': ['/images/budget_hotel/room/room10.jpg', '/images/budget_hotel/bathroom/bathroom10.jpg', '/images/budget_hotel/reception/reception9.jpg']}, 'versionSingleAxisCarousel': {'name': 'Budget Suites', 'location': {'lat': 39.440394, 'lng': -0.49294}, 'images': ['/images/budget_hotel/room/room8.jpg', '/images/budget_hotel/bathroom/bathroom9.jpg', '/images/budget_hotel/reception/reception4.jpg']}, 'versionMultiAxisCarousel': {'name': 'Simple Stopover', 'location': {'lat': 39.564439, 'lng': -0.36283}, 'images': ['/images/budget_hotel/room/room10.jpg', '/images/budget_hotel/bathroom/bathroom6.jpg', '/images/budget_hotel/reception/reception9.jpg']}, 'price': 182.57, 'rating': 4.08, 'distance': 9.56, 'type': 'Budget Hotel', 'features': ['Luggage storage', 'Breakfast available', 'Air conditioning', 'Private bathroom', 'Shared bathroom', 'Tea/coffee maker', 'Private room', '24h reception', 'Parking']}",1,0,0,3,0
03250254-7388-44aa-b1f3-f1f612af196f,benchmark-goal,benchmark,goal,36.976,1,"{'id': '45', 'versionBenchmark': {'name': 'Convenient Center', 'location': {'lat': 39.471549, 'lng': -0.364993}, 'images': ['/images/midrange_hotel/room/room10.jpg', '/images/midrange_hotel/bathroom/bathroom1.jpg', '/images/midrange_hotel/reception/reception10.jpg', '/images/features/pool/pool1.jpg', '/images/features/gym/gym4.jpg', '/images/features/sea_view/sea_view2.jpg']}, 'versionSingleAxisCarousel': {'name': 'Balance Residence', 'location': {'lat': 39.46358, 'lng': -0.368184}, 'images': ['/images/midrange_hotel/room/room3.jpg', '/images/midrange_hotel/bathroom/bathroom7.jpg', '/images/midrange_hotel/reception/reception4.jpg', '/images/features/pool/pool4.jpg', '/images/features/gym/gym3.jpg', '/images/features/sea_view/sea_view5.jpg']}, 'versionMultiAxisCarousel': {'name': 'Smart Suites', 'location': {'lat': 39.464155, 'lng': -0.385099}, 'images': ['/images/midrange_hotel/room/room4.jpg', '/images/midrange_hotel/bathroom/bathroom6.jpg', '/images/midrange_hotel/reception/reception3.jpg', '/images/features/pool/pool5.jpg', '/images/features/gym/gym3.jpg', '/images/features/sea_view/sea_view2.jpg']}, 'price': 95.12, 'rating': 4.08, 'distance': 0.99, 'type': 'Mid-Range Hotel', 'features': ['Private bathroom', 'Fitness center', 'Balcony', 'Room service', 'Parking', 'Breakfast available', 'Air conditioning', 'Free Wi-Fi', 'Swimming pool', 'Gym', '24h reception', 'Luggage storage', 'Pet-friendly', 'Breakfast included', 'Self check-in', 'Restaurant', 'Non-smoking rooms', 'Tea/coffee maker', 'Sea view', 'Bar', 'Family-friendly', 'Private room']}",1,1,0,3,0
