item,pair,W,p_uncorrected,p_holm,significant
ease,benchmark vs single,91.5,6.033576481931821e-09,1.2067152963863643e-08,True
ease,benchmark vs multi,14.0,6.537707126971881e-10,1.961312138091564e-09,True
ease,single vs multi,643.0,0.14132520776656146,0.14132520776656146,False
fun,benchmark vs single,102.0,2.5506733822452394e-08,7.652020146735718e-08,True
fun,benchmark vs multi,98.0,4.221793132183635e-07,8.44358626436727e-07,True
fun,single vs multi,760.5,0.7574834647476847,0.7574834647476847,False
helpful,benchmark vs single,28.0,1.399561109953339e-09,3.5677218313941077e-09,True
helpful,benchmark vs multi,25.5,1.1892406104647026e-09,3.5677218313941077e-09,True
helpful,single vs multi,742.0,0.996532684111161,0.996532684111161,False
useful,benchmark vs single,47.0,7.569740413393529e-10,2.2709221240180586e-09,True
useful,benchmark vs multi,37.5,3.923158449044767e-09,7.846316898089533e-09,True
useful,single vs multi,562.5,0.3435893589074941,0.3435893589074941,False
