metric,friedman_chi2,friedman_p,comparison,wilcoxon_W,p_uncorrected,p_holm,significant,task_type
task_completion_time_sec,0.677419354838662,0.7126893288619744,,,,,,all_tasks
total_interactions,89.78151260504198,3.1929509674783836e-20,benchmark vs single,18.0,9.79363242884629e-10,1.958726485769258e-09,True,all_tasks
total_interactions,89.78151260504198,3.1929509674783836e-20,benchmark vs multi,0.0,7.500181537136115e-12,2.2500544611408343e-11,True,all_tasks
total_interactions,89.78151260504198,3.1929509674783836e-20,single vs multi,342.0,8.587471111880256e-06,8.587471111880256e-06,True,all_tasks
total_navigations,55.07762557077624,1.09659325215036e-12,benchmark vs single,222.5,0.006400305057401135,0.006400305057401135,True,all_tasks
total_navigations,55.07762557077624,1.09659325215036e-12,benchmark vs multi,84.5,7.300279451763465e-10,2.1900838355290397e-09,True,all_tasks
total_navigations,55.07762557077624,1.09659325215036e-12,single vs multi,305.0,1.6983186538432907e-05,3.3966373076865814e-05,True,all_tasks
total_filters,76.28181818181814,2.726551134912014e-17,benchmark vs single,146.0,3.2713248320094946e-06,3.2713248320094946e-06,True,all_tasks
total_filters,76.28181818181814,2.726551134912014e-17,benchmark vs multi,9.0,7.993423090155854e-11,2.398026927046756e-10,True,all_tasks
total_filters,76.28181818181814,2.726551134912014e-17,single vs multi,200.5,1.0684831641939953e-06,2.1369663283879905e-06,True,all_tasks
total_resets,3.618181818181859,0.16380298093687684,,,,,,all_tasks
total_hovers,98.16326530612247,4.831898201343182e-22,benchmark vs single,261.0,2.4209859756662755e-06,2.4209859756662755e-06,True,all_tasks
total_hovers,98.16326530612247,4.831898201343182e-22,benchmark vs multi,0.0,7.573312154045417e-12,2.2719936462136252e-11,True,all_tasks
total_hovers,98.16326530612247,4.831898201343182e-22,single vs multi,5.0,9.666485185664155e-12,2.2719936462136252e-11,True,all_tasks
total_scrolls,83.69957081545064,6.68142547444726e-19,benchmark vs single,0.0,1.5953429776282559e-09,3.1906859552565118e-09,True,all_tasks
total_scrolls,83.69957081545064,6.68142547444726e-19,benchmark vs multi,0.0,7.047692309721754e-12,2.1143076929165264e-11,True,all_tasks
total_scrolls,83.69957081545064,6.68142547444726e-19,single vs multi,465.0,0.0005535537746986281,0.0005535537746986281,True,all_tasks
