metric,friedman_chi2,friedman_p,comparison,wilcoxon_W,p_uncorrected,p_holm,significant,task_type
task_completion_time_sec,0.9032258064515872,0.6366005480544923,,,,,,goal
total_interactions,72.89285714285718,1.4842846165385656e-16,benchmark vs single,68.0,2.3144496764424265e-07,4.628899352884853e-07,True,goal
total_interactions,72.89285714285718,1.4842846165385656e-16,benchmark vs multi,67.5,1.3276702781178422e-10,3.9830108343535265e-10,True,goal
total_interactions,72.89285714285718,1.4842846165385656e-16,single vs multi,461.5,0.015167061275806498,0.015167061275806498,True,goal
total_navigations,63.185185185185155,1.903318057858462e-14,benchmark vs single,96.0,0.010767651358615736,0.010767651358615736,True,goal
total_navigations,63.185185185185155,1.903318057858462e-14,benchmark vs multi,133.0,8.809554351129242e-09,2.6428663053387725e-08,True,goal
total_navigations,63.185185185185155,1.903318057858462e-14,single vs multi,142.0,5.203455120568792e-06,1.0406910241137584e-05,True,goal
total_filters,63.721649484536115,1.4555248535224505e-14,benchmark vs single,187.5,0.0002098355117542472,0.0002098355117542472,True,goal
total_filters,63.721649484536115,1.4555248535224505e-14,benchmark vs multi,39.0,6.483747321058325e-09,1.9451241963174976e-08,True,goal
total_filters,63.721649484536115,1.4555248535224505e-14,single vs multi,132.0,4.393366853694193e-06,8.786733707388385e-06,True,goal
total_resets,0.15384615384601394,0.9259610786423808,,,,,,goal
total_hovers,94.20338983050846,3.499401793066249e-21,benchmark vs single,211.5,1.3024958440078465e-05,1.3024958440078465e-05,True,goal
total_hovers,94.20338983050846,3.499401793066249e-21,benchmark vs multi,8.0,1.116844344239923e-11,3.350533032719769e-11,True,goal
total_hovers,94.20338983050846,3.499401793066249e-21,single vs multi,3.5,1.932812974568018e-11,3.865625949136036e-11,True,goal
total_scrolls,77.39449541284401,1.5631435259969045e-17,benchmark vs single,0.0,1.4594754347840603e-08,2.9189508695681207e-08,True,goal
total_scrolls,77.39449541284401,1.5631435259969045e-17,benchmark vs multi,0.0,2.2680839044229077e-12,6.804251713268723e-12,True,goal
total_scrolls,77.39449541284401,1.5631435259969045e-17,single vs multi,686.5,0.9816966857113298,0.9816966857113298,False,goal
